latitude,longitude,path,row,scan,track,acq_date,acq_time,satellite,confidence,daynight
31.367117,-89.8762,022,038,3488,5325,2025-09-22,1631,L9,high,D
31.365225,-89.876143,022,038,3488,5332,2025-09-22,1631,L9,high,D
31.364955,-89.876134,022,038,3488,5333,2025-09-22,1631,L9,high,D
31.368206,-89.875918,022,038,3489,5321,2025-09-22,1631,L9,high,D
31.367936,-89.87591,022,038,3489,5322,2025-09-22,1631,L9,medium,D
31.367124,-89.875885,022,038,3489,5325,2025-09-22,1631,L9,high,D
31.365232,-89.875828,022,038,3489,5332,2025-09-22,1631,L9,high,D
31.364962,-89.875819,022,038,3489,5333,2025-09-22,1631,L9,high,D
31.365239,-89.875513,022,038,3490,5332,2025-09-22,1631,L9,low,D
31.36795,-89.87528,022,038,3491,5322,2025-09-22,1631,L9,high,D
31.367679,-89.875272,022,038,3491,5323,2025-09-22,1631,L9,high,D
31.367409,-89.875263,022,038,3491,5324,2025-09-22,1631,L9,medium,D
31.367139,-89.875255,022,038,3491,5325,2025-09-22,1631,L9,high,D
31.365246,-89.875197,022,038,3491,5332,2025-09-22,1631,L9,medium,D
31.368227,-89.874973,022,038,3492,5321,2025-09-22,1631,L9,high,D
31.367957,-89.874965,022,038,3492,5322,2025-09-22,1631,L9,high,D
31.367686,-89.874957,022,038,3492,5323,2025-09-22,1631,L9,high,D
31.367416,-89.874948,022,038,3492,5324,2025-09-22,1631,L9,high,D
31.367146,-89.87494,022,038,3492,5325,2025-09-22,1631,L9,high,D
31.366875,-89.874932,022,038,3492,5326,2025-09-22,1631,L9,high,D
31.365524,-89.874891,022,038,3492,5331,2025-09-22,1631,L9,high,D
31.365253,-89.874882,022,038,3492,5332,2025-09-22,1631,L9,high,D
31.364983,-89.874874,022,038,3492,5333,2025-09-22,1631,L9,low,D
31.368504,-89.874666,022,038,3493,5320,2025-09-22,1631,L9,high,D
31.368234,-89.874658,022,038,3493,5321,2025-09-22,1631,L9,high,D
31.367964,-89.87465,022,038,3493,5322,2025-09-22,1631,L9,high,D
31.367693,-89.874641,022,038,3493,5323,2025-09-22,1631,L9,high,D
31.367423,-89.874633,022,038,3493,5324,2025-09-22,1631,L9,high,D
31.367153,-89.874625,022,038,3493,5325,2025-09-22,1631,L9,high,D
31.366882,-89.874617,022,038,3493,5326,2025-09-22,1631,L9,high,D
31.366612,-89.874609,022,038,3493,5327,2025-09-22,1631,L9,high,D
31.366342,-89.8746,022,038,3493,5328,2025-09-22,1631,L9,medium,D
31.366071,-89.874592,022,038,3493,5329,2025-09-22,1631,L9,high,D
31.365801,-89.874584,022,038,3493,5330,2025-09-22,1631,L9,high,D
31.365531,-89.874576,022,038,3493,5331,2025-09-22,1631,L9,high,D
31.36526,-89.874567,022,038,3493,5332,2025-09-22,1631,L9,high,D
31.36499,-89.874559,022,038,3493,5333,2025-09-22,1631,L9,high,D
31.36472,-89.874551,022,038,3493,5334,2025-09-22,1631,L9,medium,D
31.368512,-89.874351,022,038,3494,5320,2025-09-22,1631,L9,high,D
31.368241,-89.874343,022,038,3494,5321,2025-09-22,1631,L9,high,D
31.367971,-89.874335,022,038,3494,5322,2025-09-22,1631,L9,high,D
31.367701,-89.874326,022,038,3494,5323,2025-09-22,1631,L9,high,D
31.36743,-89.874318,022,038,3494,5324,2025-09-22,1631,L9,high,D
31.366889,-89.874302,022,038,3494,5326,2025-09-22,1631,L9,high,D
